Cryptocurrency,Date,Price (USD)
bitcoin,2024-09-12,58026.009078758456
bitcoin,2024-09-12,58091.00972656764
bitcoin,2024-09-12,58057.08319565786
bitcoin,2024-09-12,57659.95493558617
bitcoin,2024-09-12,57970.459668913456
bitcoin,2024-09-12,57927.30769053969
bitcoin,2024-09-12,57822.685553282594
bitcoin,2024-09-12,58087.38186620643
bitcoin,2024-09-12,58358.331296075514
bitcoin,2024-09-12,58365.418953508546
bitcoin,2024-09-12,58386.380745154944
bitcoin,2024-09-12,57986.46518718724
bitcoin,2024-09-12,58060.35003707302
bitcoin,2024-09-12,58134.82700804652
bitcoin,2024-09-13,58155.62113177616
bitcoin,2024-09-13,58013.497710735
bitcoin,2024-09-13,58156.875844222704
bitcoin,2024-09-13,58045.75605813572
bitcoin,2024-09-13,57932.6955649952
bitcoin,2024-09-13,57888.70178505414
bitcoin,2024-09-13,57852.2686668971
bitcoin,2024-09-13,57852.42404220491
bitcoin,2024-09-13,57999.53338912729
bitcoin,2024-09-13,57949.06426994313
bitcoin,2024-09-13,58089.113778767205
bitcoin,2024-09-13,58218.48942630179
bitcoin,2024-09-13,57819.30771897093
bitcoin,2024-09-13,57926.460287186324
bitcoin,2024-09-13,58054.03118432944
bitcoin,2024-09-13,58449.93476529068
bitcoin,2024-09-13,59593.36696907746
bitcoin,2024-09-13,59634.58338002218
bitcoin,2024-09-13,59600.17719945084
bitcoin,2024-09-13,59805.60489728142
bitcoin,2024-09-13,59675.75547078083
bitcoin,2024-09-13,59886.54177927379
bitcoin,2024-09-13,60431.28098885077
bitcoin,2024-09-13,60414.28977610074
bitcoin,2024-09-14,60620.62747295754
bitcoin,2024-09-14,60590.86543654763
bitcoin,2024-09-14,60480.46260923191
bitcoin,2024-09-14,60419.12908298475
bitcoin,2024-09-14,60334.796787248044
bitcoin,2024-09-14,60240.273519966184
bitcoin,2024-09-14,60001.15051060231
bitcoin,2024-09-14,60026.432790818886
bitcoin,2024-09-14,60070.48557496104
bitcoin,2024-09-14,59968.41696998458
bitcoin,2024-09-14,60014.00828587379
bitcoin,2024-09-14,59819.902506818566
bitcoin,2024-09-14,59794.75427824437
bitcoin,2024-09-14,59776.159657963886
bitcoin,2024-09-14,59793.05620420053
bitcoin,2024-09-14,59966.60767673061
bitcoin,2024-09-14,59890.30652647748
bitcoin,2024-09-14,59910.77636141386
bitcoin,2024-09-14,59841.35086761201
bitcoin,2024-09-14,59780.44873391363
bitcoin,2024-09-14,59823.33175552341
bitcoin,2024-09-14,59975.26978669294
bitcoin,2024-09-14,60064.75264543763
bitcoin,2024-09-14,60064.432134572024
bitcoin,2024-09-15,60013.882041044
bitcoin,2024-09-15,60126.50434134393
bitcoin,2024-09-15,60169.79899717741
bitcoin,2024-09-15,60220.14355588191
bitcoin,2024-09-15,60209.40011532449
bitcoin,2024-09-15,60174.848181359004
bitcoin,2024-09-15,60152.179161967026
bitcoin,2024-09-15,60152.50056428418
bitcoin,2024-09-15,60204.4991581917
bitcoin,2024-09-15,60070.699708137254
bitcoin,2024-09-15,59980.01117210122
bitcoin,2024-09-15,59997.748304015346
bitcoin,2024-09-15,59972.170926690655
bitcoin,2024-09-15,60080.54021760577
bitcoin,2024-09-15,60020.80352274349
bitcoin,2024-09-15,60251.898335166276
bitcoin,2024-09-15,60241.044621817106
bitcoin,2024-09-15,59867.17271162391
bitcoin,2024-09-15,59817.63931653717
bitcoin,2024-09-15,60139.49558241954
bitcoin,2024-09-15,59934.89630185745
bitcoin,2024-09-15,59622.2393902769
bitcoin,2024-09-15,59418.21608572046
bitcoin,2024-09-15,58949.11369730079
bitcoin,2024-09-16,58962.86324377677
bitcoin,2024-09-16,58689.43905998534
bitcoin,2024-09-16,58442.9634176284
bitcoin,2024-09-16,58373.35584330864
bitcoin,2024-09-16,58579.58396190821
bitcoin,2024-09-16,58321.09535637939
bitcoin,2024-09-16,58602.93079593577
bitcoin,2024-09-16,58680.7927891159
bitcoin,2024-09-16,58929.764480198406
bitcoin,2024-09-16,58982.52543925611
bitcoin,2024-09-16,58610.714110205
bitcoin,2024-09-16,58800.54160959564
bitcoin,2024-09-16,58765.12817618118
bitcoin,2024-09-16,58499.64650639906
bitcoin,2024-09-16,58374.725818389015
bitcoin,2024-09-16,57912.77735736806
bitcoin,2024-09-16,57905.67320656069
bitcoin,2024-09-16,57860.077940136594
bitcoin,2024-09-16,58176.37890208296
bitcoin,2024-09-16,57863.95250925426
bitcoin,2024-09-16,57890.44885024387
bitcoin,2024-09-16,57884.533124725094
bitcoin,2024-09-16,57986.08347484864
bitcoin,2024-09-16,58236.257445578536
bitcoin,2024-09-17,58251.27267436425
bitcoin,2024-09-17,57767.78226883802
bitcoin,2024-09-17,57839.48097393634
bitcoin,2024-09-17,58098.16699183134
bitcoin,2024-09-17,58129.353688610405
bitcoin,2024-09-17,58264.61830815356
bitcoin,2024-09-17,58532.70872200161
bitcoin,2024-09-17,58569.71835994324
bitcoin,2024-09-17,58790.090047016616
bitcoin,2024-09-17,58722.162538473516
bitcoin,2024-09-17,59094.149237134654
bitcoin,2024-09-17,59055.53531671722
bitcoin,2024-09-17,59228.508480328026
bitcoin,2024-09-17,59284.755003367514
bitcoin,2024-09-17,59163.77955715653
bitcoin,2024-09-17,61231.62129710131
bitcoin,2024-09-17,61202.01968568921
bitcoin,2024-09-17,60970.25348144018
bitcoin,2024-09-17,60976.857374660656
bitcoin,2024-09-17,60563.415830997714
bitcoin,2024-09-17,59973.9506205091
bitcoin,2024-09-17,60375.03695473223
bitcoin,2024-09-17,60174.66622543997
bitcoin,2024-09-17,60155.64411695945
bitcoin,2024-09-18,60061.88485600524
bitcoin,2024-09-18,60163.834722174084
bitcoin,2024-09-18,60124.06622749374
bitcoin,2024-09-18,60367.12638253788
bitcoin,2024-09-18,60514.12318125176
bitcoin,2024-09-18,60355.3951320565
bitcoin,2024-09-18,60320.42252263266
bitcoin,2024-09-18,60342.12443291608
bitcoin,2024-09-18,60238.90248548927
bitcoin,2024-09-18,60194.655723707816
bitcoin,2024-09-18,59781.959515665185
bitcoin,2024-09-18,59982.66746095182
