Cryptocurrency,Price (USD),24h Volume (USD),Market Cap (USD),SMA (10)
bitcoin,58026.009078758456,,,
bitcoin,58091.00972656764,,,
bitcoin,58057.08319565786,,,
bitcoin,57659.95493558617,,,
bitcoin,57970.459668913456,,,
bitcoin,57927.30769053969,,,
bitcoin,57822.685553282594,,,
bitcoin,58087.38186620643,,,
bitcoin,58358.331296075514,,,
bitcoin,58365.418953508546,,,58036.56419650964
bitcoin,58386.380745154944,,,58072.60136314928
bitcoin,57986.46518718724,,,58062.14690921124
bitcoin,58060.35003707302,,,58062.473593352755
bitcoin,58134.82700804652,,,58109.9608005988
bitcoin,58155.62113177616,,,58128.47694688507
bitcoin,58013.497710735,,,58137.09594890459
bitcoin,58156.875844222704,,,58170.5149779986
bitcoin,58045.75605813572,,,58166.352397191535
bitcoin,57932.6955649952,,,58123.788824083495
bitcoin,57888.70178505414,,,58076.11710723806
bitcoin,57852.2686668971,,,58022.70589941228
bitcoin,57852.42404220491,,,58009.30178491406
bitcoin,57999.53338912729,,,58003.22012011948
bitcoin,57949.06426994313,,,57984.64384630914
bitcoin,58089.113778767205,,,57977.99311100824
bitcoin,58218.48942630179,,,57998.49228256491
bitcoin,57819.30771897093,,,57964.73547003975
bitcoin,57926.460287186324,,,57952.8058929448
bitcoin,58054.03118432944,,,57964.93945487823
bitcoin,58449.93476529068,,,58021.06275290188
bitcoin,59593.36696907746,,,58195.17258311991
bitcoin,59634.58338002218,,,58373.38851690164
bitcoin,59600.17719945084,,,58533.452897933996
bitcoin,59805.60489728142,,,58719.10696066782
bitcoin,59675.75547078083,,,58877.77112986918
bitcoin,59886.54177927379,,,59044.57636516639
bitcoin,60431.28098885077,,,59305.77369215437
bitcoin,60414.28977610074,,,59554.55664104582
bitcoin,60620.62747295754,,,59811.216269908626
bitcoin,60590.86543654763,,,60025.30933703432
bitcoin,60480.46260923191,,,60114.01890104976
bitcoin,60419.12908298475,,,60192.473471346006
bitcoin,60334.796787248044,,,60265.935430125726
bitcoin,60240.273519966184,,,60309.40229239422
bitcoin,60001.15051060231,,,60341.941796376355
bitcoin,60026.432790818886,,,60355.93089753088
bitcoin,60070.48557496104,,,60319.85135614191
bitcoin,59968.41696998458,,,60275.2640755303
bitcoin,60014.00828587379,,,60214.602156821915
bitcoin,59819.902506818566,,,60137.505863849
bitcoin,59794.75427824437,,,60068.93503075025
bitcoin,59776.159657963886,,,60004.63808824816
bitcoin,59793.05620420053,,,59950.46402994341
bitcoin,59966.60767673061,,,59923.09744561986
bitcoin,59890.30652647748,,,59912.01304720738
bitcoin,59910.77636141386,,,59900.44740426688
bitcoin,59841.35086761201,,,59877.53393353197
bitcoin,59780.44873391363,,,59858.73710992488
bitcoin,59823.33175552341,,,59839.66945688983
bitcoin,59975.26978669294,,,59855.20618487727
bitcoin,60064.75264543763,,,59882.2060215966
bitcoin,60064.432134572024,,,59911.033269257416
bitcoin,60013.882041044,,,59933.11585294176
bitcoin,60126.50434134393,,,59949.105519403085
bitcoin,60169.79899717741,,,59977.054766473084
bitcoin,60220.14355588191,,,60007.99148591988
bitcoin,60209.40011532449,,,60044.79641069113
bitcoin,60174.848181359004,,,60084.23635543567
bitcoin,60152.179161967026,,,60117.12109608003
bitcoin,60152.50056428418,,,60134.84417383916
bitcoin,60204.4991581917,,,60148.81882511456
bitcoin,60070.699708137254,,,60149.445582471075
bitcoin,59980.01117210122,,,60146.058495576806
bitcoin,59997.748304015346,,,60133.18289184394
bitcoin,59972.170926690655,,,60113.420084795274
bitcoin,60080.54021760577,,,60099.45975096767
bitcoin,60020.80352274349,,,60080.60009170956
bitcoin,60251.898335166276,,,60088.30510709029
bitcoin,60241.044621817106,,,60097.1916530753
bitcoin,59867.17271162391,,,60068.658867809296
bitcoin,59817.63931653717,,,60029.972883643815
bitcoin,60139.49558241954,,,60036.85247107207
bitcoin,59934.89630185745,,,60032.34098404768
bitcoin,59622.2393902769,,,59994.79009267383
bitcoin,59418.21608572046,,,59939.394608576804
bitcoin,58949.11369730079,,,59826.25195654631
bitcoin,58962.86324377677,,,59720.45792864964
bitcoin,58689.43905998534,,,59564.21200113154
bitcoin,58442.9634176284,,,59384.40388071267
bitcoin,58373.35584330864,,,59235.022193881145
bitcoin,58579.58396190821,,,59111.216658418256
bitcoin,58321.09535637939,,,58929.37663581424
bitcoin,58602.93079593577,,,58796.18008522208
bitcoin,58680.7927891159,,,58702.03542510597
bitcoin,58929.764480198406,,,58653.19026455375
bitcoin,58982.52543925611,,,58656.53143874928
bitcoin,58610.714110205,,,58621.31652539212
bitcoin,58800.54160959564,,,58632.42678035315
bitcoin,58765.12817618118,,,58664.64325620843
bitcoin,58499.64650639906,,,58677.27232251747
bitcoin,58374.725818389015,,,58656.78650816555
bitcoin,57912.77735736806,,,58615.954708264406
bitcoin,57905.67320656069,,,58546.228949326905
bitcoin,57860.077940136594,,,58464.15746442898
bitcoin,58176.37890208296,,,58388.81890661743
bitcoin,57863.95250925426,,,58276.961613617255
bitcoin,57890.44885024387,,,58204.93508762113
bitcoin,57884.533124725094,,,58113.334239134085
bitcoin,57986.08347484864,,,58035.42976900083
bitcoin,58236.257445578536,,,58009.090862918776
bitcoin,58251.27267436425,,,57996.7455485163
bitcoin,57767.78226883802,,,57982.2460396633
bitcoin,57839.48097393634,,,57975.626816400865
bitcoin,58098.16699183134,,,57999.435721570335
bitcoin,58129.353688610405,,,57994.73320022308
bitcoin,58264.61830815356,,,58034.799780113004
bitcoin,58532.70872200161,,,58099.025767288775
bitcoin,58569.71835994324,,,58167.54429081059
bitcoin,58790.090047016616,,,58247.94494802739
bitcoin,58722.162538473516,,,58296.53545731689
bitcoin,59094.149237134654,,,58380.823113593935
bitcoin,59055.53531671722,,,58509.59841838186
bitcoin,59228.508480328026,,,58648.50116902102
bitcoin,59284.755003367514,,,58767.15997017464
bitcoin,59163.77955715653,,,58870.60255702925
bitcoin,61231.62129710131,,,59167.30285592403
bitcoin,61202.01968568921,,,59434.23395229279
bitcoin,60970.25348144018,,,59674.287464442474
bitcoin,60976.857374660656,,,59892.96419720688
bitcoin,60563.415830997714,,,60077.0895264593
bitcoin,59973.9506205091,,,60165.06966479674
bitcoin,60375.03695473223,,,60297.01982859825
bitcoin,60174.66622543997,,,60391.63560310945
bitcoin,60155.64411695945,,,60478.72451446863
bitcoin,60061.88485600524,,,60568.5350443535
bitcoin,60163.834722174084,,,60461.75638686078
bitcoin,60124.06622749374,,,60353.96104104122
bitcoin,60367.12638253788,,,60293.64833115102
bitcoin,60514.12318125176,,,60247.37491181013
bitcoin,60355.3951320565,,,60226.572841916
bitcoin,60320.42252263266,,,60261.22003212835
bitcoin,60342.12443291608,,,60257.92877994674
bitcoin,60238.90248548927,,,60264.352405951664
bitcoin,60194.655723707816,,,60268.2535666265
bitcoin,59781.959515665185,,,60240.26103259249
bitcoin,59982.66746095182,,,60222.144306470254
bitcoin,59871.92952024553,,,60196.93063574545
bitcoin,59865.634809302755,,,60146.78147842195
bitcoin,59450.8514452217,,,60040.45430481894
bitcoin,59511.02624805182,,,59956.01741641846
bitcoin,59520.59594606601,,,59876.0347587618
bitcoin,59602.29473219028,,,59802.05178868922
bitcoin,60171.933857235636,,,59795.35492586387
bitcoin,60678.62222921164,,,59843.75157641424
bitcoin,60033.62696794817,,,59868.91832164254
bitcoin,60334.71975583846,,,59904.123551131204
bitcoin,60481.06798044665,,,59965.03739715131
bitcoin,61165.471218697974,,,60095.02103809083
bitcoin,61826.717613028115,,,60332.60765487146
bitcoin,61852.93928771889,,,60566.79895883818
bitcoin,61982.67165987673,,,60813.00653021926
bitcoin,61995.878699547255,,,61052.36492695495
bitcoin,62151.170540432715,,,61250.28859527466
bitcoin,62112.07774058046,,,61393.63414641154
bitcoin,61868.704910266235,,,61577.141940643356
bitcoin,62070.28774196219,,,61750.69873925572
bitcoin,62138.77892749226,,,61916.46983396028
bitcoin,62142.55195399946,,,62014.177907490426
bitcoin,62437.87543011053,,,62075.293689198676
bitcoin,62435.71774305727,,,62133.57153473251
bitcoin,62705.46504031729,,,62205.850872776566
bitcoin,63214.12051670896,,,62327.675054492734
bitcoin,63409.84242468018,,,62453.54224291748
bitcoin,63060.55291609862,,,62548.389760469305
bitcoin,63156.58167514334,,,62677.17743695702
